gov_level,fiscal_year,sector,amount_crore,description
union,2016-17,infrastructure,358.52,Grants to Inland Water Transport Authority of India
union,2016-17,infrastructure,358.52,Grants to Inland Water Transport Authority of India
union,2016-17,infrastructure,354.38,Support to International Training/Programmes
union,2016-17,infrastructure,354.38,Support to International Training/Programmes
union,2016-17,energy,350.0,"Conservation, Safety and Infrastructure Development in Coal Mines"
union,2016-17,energy,350.0,"Conservation, Safety and Infrastructure Development in Coal Mines"
union,2016-17,education,345.07,e-Courts Phase II
union,2016-17,education,345.07,e-Courts Phase II
union,2016-17,other,341.68,National Coastal Zone Management Programme (EAP)
union,2016-17,other,341.68,National Coastal Zone Management Programme (EAP)
union,2016-17,other,335.34,Atmosphere and Climate Research - Modelling Observing Systems and Services (ACROSS)
union,2016-17,other,332.72,Nepal
union,2016-17,other,332.72,Nepal
union,2016-17,education,331.53,Market Promotion and Development Assistance
union,2016-17,education,331.53,Market Promotion and Development Assistance
union,2016-17,education,331.22,Strengthening of Power Systems
union,2016-17,education,318.94,National Manufacturing Competitiveness Programme (NMCP)
union,2016-17,education,318.94,National Manufacturing Competitiveness Programme (NMCP)
union,2016-17,education,315.34,Khadi Grant (KG)
union,2016-17,education,315.34,Khadi Grant (KG)
union,2016-17,other,315.11,Special Projects - Air Force
union,2016-17,other,315.11,Special Projects - Air Force
union,2016-17,education,308.91,Staff Quarters
union,2016-17,education,308.91,Staff Quarters
union,2016-17,other,305.54,"Ocean Services, Technology, Observations, Resources Modelling and Science (O-STORMS)"
union,2016-17,infrastructure,300.0,North East Road Sector Development Scheme
union,2016-17,other,299.95,India Post Payments Bank
union,2016-17,other,297.65,"Ocean Services, Technology, Observations, Resources Modelling and Science (O-STORMS)"
union,2016-17,other,297.25,Space Applications
union,2016-17,education,291.17,R and D for Fast Reactor Science and Technology
union,2016-17,education,291.17,R and D for Fast Reactor Science and Technology
union,2016-17,education,287.06,Prasar Bharati
union,2016-17,education,287.06,Prasar Bharati
union,2016-17,other,286.39,African Countries
union,2016-17,other,286.39,African Countries
union,2016-17,education,281.96,Miscellaneous Advances
union,2016-17,education,281.96,Miscellaneous Advances
union,2016-17,other,275.41,Postal Operation
union,2016-17,other,275.0,India Post Payments Bank
union,2016-17,education,263.3,Other Specified Works
union,2016-17,education,263.3,Other Specified Works
union,2016-17,other,263.02,Afghanistan
union,2016-17,other,263.02,Afghanistan
union,2016-17,other,261.35,Yarn Supply Scheme
union,2016-17,other,261.35,Yarn Supply Scheme
union,2016-17,other,255.37,Land - Army
union,2016-17,other,255.37,Land - Army
union,2016-17,other,250.79,Integrated Scheme for Skill Development
union,2016-17,other,250.79,Integrated Scheme for Skill Development
union,2016-17,other,250.0,National Knowledge Network
union,2016-17,other,250.0,National Knowledge Network
union,2016-17,other,245.77,NER Textiles Promotion Scheme
union,2016-17,other,245.77,NER Textiles Promotion Scheme
union,2016-17,education,240.49,Scholarship for College and University students
union,2016-17,education,240.49,Scholarship for College and University students
union,2016-17,education,240.05,Labour Welfare Scheme
union,2016-17,education,239.36,Labour Welfare Scheme
union,2016-17,other,236.61,Sagarmala
union,2016-17,education,235.76,Amenities for Staff
union,2016-17,education,235.76,Amenities for Staff
union,2016-17,education,235.0,e-shodh Sindhu
union,2016-17,education,235.0,e-shodh Sindhu
union,2016-17,other,226.16,"Centenaries and Anniversaries,  Celebrations and Schemes"
union,2016-17,other,226.16,"Centenaries and Anniversaries,  Celebrations and Schemes"
union,2016-17,education,226.12,Computerisation
union,2016-17,education,226.12,Computerisation
union,2016-17,education,225.31,Infrastructure Development and Capacity Building
union,2016-17,education,225.31,Infrastructure Development and Capacity Building
union,2016-17,education,222.1,Traction Distribution Works
union,2016-17,education,222.1,Traction Distribution Works
union,2016-17,education,221.94,"Transfer to National Clean  Energy Fund(NCEF) - Research, Development and International Cooperation"
union,2016-17,education,221.94,"Transfer to National Clean  Energy Fund(NCEF) - Research, Development and International Cooperation"
union,2016-17,other,217.49,Projects of the Army - Techonology Development - Assistance for prototype development under make procedure
union,2016-17,other,217.49,Projects of the Army - Techonology Development - Assistance for prototype development under make procedure
union,2016-17,infrastructure,205.4,Management Support to Rural Development Programs and Strengthening of District Planning Process
union,2016-17,infrastructure,205.4,Management Support to Rural Development Programs and Strengthening of District Planning Process
union,2016-17,other,200.0,Other projects in NER
union,2016-17,education,200.0,Green Energy Corridors - Grid Interactive Renewable Power
union,2016-17,other,200.0,Other projects in NER
union,2016-17,education,200.0,Green Energy Corridors - Grid Interactive Renewable Power
union,2016-17,other,199.37,Market Access Initiative
union,2016-17,other,199.37,Market Access Initiative
union,2016-17,social_welfare,196.0,National Fellowship for SCs
union,2016-17,social_welfare,196.0,National Fellowship for SCs
union,2016-17,other,194.44,Overseas Promotion and Publicity including Market Development Assistance
union,2016-17,other,194.44,Overseas Promotion and Publicity including Market Development Assistance
union,2016-17,education,190.86,Agricultural Engineering
union,2016-17,education,190.86,Agricultural Engineering
union,2016-17,other,190.0,Central Pool of Resources for North East and Sikkim
union,2016-17,other,187.9,Industrial and Entrepreneurship Development
union,2016-17,other,187.9,Industrial and Entrepreneurship Development
union,2016-17,other,178.62,Kala Sanskriti Vikas Yojana
union,2016-17,other,178.54,Kala Sanskriti Vikas Yojana
union,2016-17,other,176.84,Trade Facilitation Centre and Crafts Museum
union,2016-17,other,176.13,INSAT Satellite Systems
union,2016-17,urban_services,175.88,262.  World Bank Assistance to National Housing Bank (NHB) for low income housing finance in India
union,2016-17,urban_services,175.88,262.  World Bank Assistance to National Housing Bank (NHB) for low income housing finance in India
union,2016-17,education,175.7,"Advanced Technologies for Laser, Synchrotron and Accelerator"
union,2016-17,education,175.7,"Advanced Technologies for Laser, Synchrotron and Accelerator"
union,2016-17,other,175.5,River Basin Management
union,2016-17,other,175.37,River Basin Management
