gov_level,dataset,pdf_source,fiscal_year,estimate_type,component,amount_crore,sector,demand_no,ministry,department,category,description
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,capital,156.95,education,4.0,Department of Agricultural Research and Education,,,Nuclear Fuel Projects
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,156.95,education,4.0,Department of Agricultural Research and Education,,,Nuclear Fuel Projects
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,155.26,other,91.0,Department of Space,,,INSAT Satellite Systems
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,155.0,other,31.0,Department of Financial Services,,,Government Co-contribution to Atal Pension Yojana
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,155.0,healthcare,42.0,Department of Health and Family Welfare,,,Swachhata Action Plan (SAP)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,155.0,other,31.0,Department of Financial Services,,,Government Co-contribution to Atal Pension Yojana
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,155.0,healthcare,42.0,Department of Health and Family Welfare,,,Swachhata Action Plan (SAP)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,155.0,other,97.0,Department of Space,,,Farakka Barrage Project
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,154.9,education,2.0,Department of Agricultural Research and Education,,,Horticultural Science
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,154.9,education,2.0,Department of Agricultural Research and Education,,,Horticultural Science
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,capital,152.53,education,4.0,Department of Agricultural Research and Education,,,"Advanced Technologies for Laser, Synchrotron and Accelerator"
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,152.53,education,4.0,Department of Agricultural Research and Education,,,"Advanced Technologies for Laser, Synchrotron and Accelerator"
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,capital,152.05,other,21.0,Department of Food and Public Distribution,,,Heavy and Medium Vehicles - Air Force
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,152.05,other,21.0,Department of Food and Public Distribution,,,Heavy and Medium Vehicles - Air Force
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,151.55,other,13.0,Department of Posts,,,Postal Operation
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,150.0,other,23.0,Department of Food and Public Distribution,,,NER Livelihood (EAP) Project (NERLP) -
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,150.0,infrastructure,23.0,Department of Food and Public Distribution,,,North East Road Sector Development Scheme
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,150.0,other,26.0,Department of Food and Public Distribution,,,National Knowledge Network
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,150.0,infrastructure,28.0,Department of Food and Public Distribution,,,Chabahar Port
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,150.0,other,44.0,Department of Heavy Industry,,,Enhancement of Competitiveness in the Indian Capital Goods Sector
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,150.0,education,58.0,Department of Higher Education,,,National Mission in Education Through ICT
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,150.0,education,72.0,Department of Higher Education,,,Direct  Benefit Transfer
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,150.0,other,83.0,Department of Land Resources,,,Land Records Modernization Programme
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,150.0,energy,90.0,Department of Empowerment of Persons with Disabilities,,,Assistance to Disabled Persons for Purchase/Fitting of Aids and Applicances
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,capital,150.0,infrastructure,23.0,Department of Food and Public Distribution,,,North East Road Sector Development Scheme
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,capital,150.0,urban_services,31.0,Department of Financial Services,,,262.  World Bank Assistance to National Housing Bank (NHB) for low income housing finance in India
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,150.0,other,23.0,Department of Food and Public Distribution,,,NER Livelihood (EAP) Project (NERLP) -
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,150.0,other,26.0,Department of Food and Public Distribution,,,National Knowledge Network
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,150.0,infrastructure,28.0,Department of Food and Public Distribution,,,Chabahar Port
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,150.0,urban_services,31.0,Department of Financial Services,,,262.  World Bank Assistance to National Housing Bank (NHB) for low income housing finance in India
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,150.0,other,44.0,Department of Heavy Industry,,,Enhancement of Competitiveness in the Indian Capital Goods Sector
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,150.0,education,58.0,Department of Higher Education,,,National Mission in Education Through ICT
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,150.0,education,72.0,Department of Higher Education,,,Direct  Benefit Transfer
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,150.0,other,83.0,Department of Land Resources,,,Land Records Modernization Programme
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,150.0,energy,90.0,Department of Empowerment of Persons with Disabilities,,,Assistance to Disabled Persons for Purchase/Fitting of Aids and Applicances
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,146.85,other,56.0,Department of Public Enterprises,,,Other projects in NER
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,146.85,other,56.0,Department of Public Enterprises,,,Other projects in NER
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,146.0,other,94.0,Department of Space,,,National Handloom Development Programme
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,145.0,urban_services,97.0,Department of Space,,,Development of Water Resources Information System
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,144.0,education,67.0,Department of Higher Education,,,"Transfer to National Clean  Energy Fund(NCEF) - Research, Development and International Cooperation"
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,144.0,education,67.0,Department of Higher Education,,,"Research and Development - Research, Development and International Cooperation"
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,144.0,other,99.0,Department of Space,,,National Service Scheme
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,144.0,education,67.0,Department of Higher Education,,,"Transfer to National Clean  Energy Fund(NCEF) - Research, Development and International Cooperation"
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,144.0,education,67.0,Department of Higher Education,,,"Research and Development - Research, Development and International Cooperation"
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,144.0,other,99.0,Department of Space,,,National Service Scheme
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,142.6,other,11.0,Department of Commerce,,,Rubber Board
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,142.6,other,11.0,Department of Commerce,,,Rubber Board
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,141.57,other,56.0,Department of Public Enterprises,,,326.
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,140.98,other,46.0,Department of Public Enterprises,,,309.
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,140.1,other,11.0,Department of Commerce,,,Coffee Board
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,140.1,other,11.0,Department of Commerce,,,Coffee Board
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,140.03,other,92.0,Department of Space,,,Capacity Development (CD)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,136.0,other,94.0,Department of Space,,,National Handloom Development Programme
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,134.0,education,67.0,Department of Higher Education,,,Biogas Programme - Off-Grid/Distributed and Decentralized Renewable Power
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,134.0,education,67.0,Department of Higher Education,,,Biogas Programme - Off-Grid/Distributed and Decentralized Renewable Power
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,127.73,education,8.0,Department of Pharmaceuticals,,,National Institutes of Pharmaceutical Education and Research (NIPERs)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,127.73,education,8.0,Department of Pharmaceuticals,,,National Institutes of Pharmaceutical Education and Research (NIPERs)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,127.0,other,25.0,Department of Food and Public Distribution,,,Polar Science and Cryosphere (PACER)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,127.0,other,25.0,Department of Food and Public Distribution,,,Polar Science and Cryosphere (PACER)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,125.0,other,28.0,Department of Food and Public Distribution,,,Bangladesh
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,125.0,other,28.0,Department of Food and Public Distribution,,,Sri Lanka
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,capital,125.0,other,13.0,Department of Posts,,,India Post Payments Bank
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,capital,125.0,education,80.0,Department of Higher Education,,,Traning/Human Resource Development
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,125.0,other,28.0,Department of Food and Public Distribution,,,Bangladesh
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,125.0,other,28.0,Department of Food and Public Distribution,,,Sri Lanka
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,125.0,education,80.0,Department of Higher Education,,,Traning/Human Resource Development
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,capital,124.5,education,4.0,Department of Agricultural Research and Education,,,Radiation and Isotopes Project
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,124.5,education,4.0,Department of Agricultural Research and Education,,,Radiation and Isotopes Project
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,capital,122.5,education,4.0,Department of Agricultural Research and Education,,,R and D in Exploration and Mining
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,122.5,education,4.0,Department of Agricultural Research and Education,,,R and D in Exploration and Mining
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,121.5,education,67.0,Department of Higher Education,,,Small Hydro Power - Grid Interactive Renewable Power
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,121.5,education,67.0,Department of Higher Education,,,Small Hydro Power - Grid Interactive Renewable Power
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,120.0,energy,44.0,Department of Heavy Industry,,,Research and Development project for development of Advanced Ultra Super Critical (AUSC) Technology for Thermal Power Plants
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,120.0,education,58.0,Department of Higher Education,,,Pandit Madan Mohan Malviya National Mission on Teachers and Teaching
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,120.0,education,96.0,Department of Space,,,National Fellowship and Scholarship for Higher Education of ST Students
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,capital,120.0,other,26.0,Department of Food and Public Distribution,,,"Promotion of Electronics and IT HW Manufacturing (MSIPS, EDF and Manufacturing Clusters)"
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,120.0,energy,44.0,Department of Heavy Industry,,,Research and Development project for development of Advanced Ultra Super Critical (AUSC) Technology for Thermal Power Plants
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,120.0,education,58.0,Department of Higher Education,,,Pandit Madan Mohan Malviya National Mission on Teachers and Teaching
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,120.0,education,96.0,Department of Space,,,National Fellowship and Scholarship for Higher Education of ST Students
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,119.37,education,70.0,Department of Higher Education,,,Training Schemes
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,capital,118.83,other,91.0,Department of Space,,,Space Sciences
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,116.52,urban_services,97.0,Department of Space,,,Development of Water Resources Information System
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,115.85,education,2.0,Department of Agricultural Research and Education,,,Fisheries Science
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,115.85,education,2.0,Department of Agricultural Research and Education,,,Fisheries Science
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,115.0,other,28.0,Department of Food and Public Distribution,,,Other Developing Countries
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,115.0,other,28.0,Department of Food and Public Distribution,,,Other Developing Countries
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,112.0,education,73.0,Department of Higher Education,,,Atal Innovation Mission(AIM) including Self Employment and Talent Utilization (SETU)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,112.0,education,73.0,Department of Higher Education,,,Atal Innovation Mission(AIM) including Self Employment and Talent Utilization (SETU)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,capital,111.64,other,21.0,Department of Food and Public Distribution,,,Rashtriya Rifles - Army
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,111.64,other,21.0,Department of Food and Public Distribution,,,Rashtriya Rifles - Army
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,110.0,other,27.0,Department of Food and Public Distribution,,,National Adaptation Fund (Funded from NCEF)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,110.0,education,58.0,Department of Higher Education,,,Programme for Apprenticeship Training
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,110.0,other,95.0,Department of Space,,,Domestic Promotion and Publicity including Market Development Assistance
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,110.0,other,27.0,Department of Food and Public Distribution,,,National Adaptation Fund (Funded from NCEF)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,110.0,education,58.0,Department of Higher Education,,,Programme for Apprenticeship Training
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,110.0,other,95.0,Department of Space,,,Domestic Promotion and Publicity including Market Development Assistance
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,capital,107.1,other,97.0,Department of Space,,,Dam Rehabilitation and Improvement Programme
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,107.0,education,72.0,Department of Higher Education,,,Cash Incentives for Kerosene Distribution Reforms
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,107.0,education,72.0,Department of Higher Education,,,Cash Incentives for Kerosene Distribution Reforms
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,106.75,other,97.0,Department of Space,,,Farakka Barrage Project
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,105.0,infrastructure,11.0,Department of Commerce,,,Marine Product Export Development Authority (MPEDA)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,105.0,infrastructure,11.0,Department of Commerce,,,Marine Product Export Development Authority (MPEDA)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,capital,103.42,other,97.0,Department of Space,,,National Hydrology Project
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,102.56,education,70.0,Department of Higher Education,,,Training Schemes
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,101.39,education,64.0,Department of Higher Education,,,Khadi Reform Development Package (ADB Assistance)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,101.39,education,64.0,Department of Higher Education,,,Khadi Reform Development Package (ADB Assistance)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,101.0,other,26.0,Department of Food and Public Distribution,,,R and D in IT/Electronics/CCBT
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,101.0,other,26.0,Department of Food and Public Distribution,,,R and D in IT/Electronics/CCBT
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,100.01,other,6.0,Department of Chemicals and Petrochemicals,,,Assam Gas Cracker Project
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,100.01,other,6.0,Department of Chemicals and Petrochemicals,,,Assam Gas Cracker Project
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,100.0,other,12.0,Department of Industrial Policy and Promotion,,,Interest Subsidy  to Industrial Units in Andhra Pradesh and Telengana
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,100.0,urban_services,56.0,Department of Public Enterprises,,,North Eastern Regional Urban Development Project (NERUDP)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,100.0,education,60.0,Department of Higher Education,,,Creation of National Platform of Unorganized Workers and allotment of an Aadhaar seeded identification numbers
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,100.0,other,95.0,Department of Space,,,Pilgrimage Rejuvenation and Spiritual Augmentation Drive (PRASAD)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,capital,100.0,infrastructure,11.0,Department of Commerce,,,Trade Infrastructure for Export Schemes (TIES)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,capital,100.0,other,29.0,Department of Economic Affairs,,,Viability Gap Funding
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,100.0,infrastructure,11.0,Department of Commerce,,,Trade Infrastructure for Export Schemes (TIES)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,100.0,other,12.0,Department of Industrial Policy and Promotion,,,Interest Subsidy  to Industrial Units in Andhra Pradesh and Telengana
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,100.0,security,26.0,Department of Food and Public Distribution,,,Cyber Security Projects (NCCC & Others)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,100.0,urban_services,56.0,Department of Public Enterprises,,,North Eastern Regional Urban Development Project (NERUDP)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,100.0,education,60.0,Department of Higher Education,,,Creation of National Platform of Unorganized Workers and allotment of an Aadhaar seeded identification numbers
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,100.0,other,95.0,Department of Space,,,Pilgrimage Rejuvenation and Spiritual Augmentation Drive (PRASAD)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,95.0,other,95.0,Department of Space,,,Assistance to IHMS/FCIs/IITTM/NIWS
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,95.0,other,95.0,Department of Space,,,Assistance to IHMS/FCIs/IITTM/NIWS
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,capital,94.15,infrastructure,87.0,Department of Scientific and Industrial Research,,,Development of Minor Ports
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,92.5,infrastructure,11.0,Department of Commerce,,,Agricultural Product Export Development Authority (APEDA)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,92.5,infrastructure,11.0,Department of Commerce,,,Agricultural Product Export Development Authority (APEDA)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,89.0,infrastructure,95.0,Department of Space,,,Other Support to Tourist Infrastructure
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,89.0,infrastructure,95.0,Department of Space,,,Other Support to Tourist Infrastructure
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,88.0,infrastructure,19.0,Department of Food and Public Distribution,,,Transfer to Central Road Fund
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,capital,88.0,other,25.0,Department of Food and Public Distribution,,,Atmosphere and Climate Research - Modelling Observing Systems and Services (ACROSS)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,86.45,education,58.0,Department of Higher Education,,,Startup India Initiative in Higher Educational Institutions
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,86.45,education,58.0,Department of Higher Education,,,Startup India Initiative in Higher Educational Institutions
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,capital,86.0,other,46.0,Department of Public Enterprises,,,308.
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,86.0,other,46.0,Department of Public Enterprises,,,308.
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,85.0,education,58.0,Department of Higher Education,,,Implementation of the IMPRINT Research Initiative (Impacting Research Innovation and Technology)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,85.0,education,58.0,Department of Higher Education,,,Implementation of the IMPRINT Research Initiative (Impacting Research Innovation and Technology)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,82.1,other,11.0,Department of Commerce,,,Spices Board
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,82.1,other,11.0,Department of Commerce,,,Spices Board
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,80.18,agriculture_rural,82.0,Department of Rural Development,,,Socio-Economic and Caste Census Survey
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,80.18,agriculture_rural,82.0,Department of Rural Development,,,Socio-Economic and Caste Census Survey
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,80.0,infrastructure,96.0,Department of Space,,,Support to Tribal Research Institutes
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,80.0,infrastructure,96.0,Department of Space,,,Support to Tribal Research Institutes
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,79.0,education,72.0,Department of Higher Education,,,Payment to ISPRL for Strategic Crude Oil Reserve (O and M)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,79.0,education,72.0,Department of Higher Education,,,Payment to ISPRL for Strategic Crude Oil Reserve (O and M)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,77.05,other,14.0,Department of Telecommunications,,,109.  Wireless Planning and Coordination
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,76.7,other,25.0,Department of Food and Public Distribution,,,Seismological and Geoscience (SAGE)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,76.6,education,67.0,Department of Higher Education,,,International Relations - International Co-operation including Investment Promotion and Assistance to International Solar Alliance - Supporting Programmes
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,76.6,education,67.0,Department of Higher Education,,,International Relations - International Co-operation including Investment Promotion and Assistance to International Solar Alliance - Supporting Programmes
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,76.0,other,18.0,Department of Food and Public Distribution,,,Development of Museums
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,76.0,other,18.0,Department of Food and Public Distribution,,,Development of Museums
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,75.9,education,4.0,Department of Agricultural Research and Education,,,Nuclear Power Projects
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,75.5,urban_services,97.0,Department of Space,,,Ground Water Management and Regulation
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,75.0,other,28.0,Department of Food and Public Distribution,,,Maldives
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,75.0,education,58.0,Department of Higher Education,,,PM Research Fellowship
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,75.0,education,58.0,Department of Higher Education,,,Setting up of virtual classrooms and massive open online courses (MOOCs)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,75.0,education,58.0,Department of Higher Education,,,Uchhatar Avishkar Abhiyan
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,75.0,education,64.0,Department of Higher Education,,,Scheme for Fund for Regeneration of Traditional Industries (SFURTI)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,75.0,infrastructure,99.0,Department of Space,,,Enhancement of Sports Facility in J and K
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,75.0,education,58.0,Department of Higher Education,,,PM Research Fellowship
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,75.0,education,58.0,Department of Higher Education,,,Setting up of virtual classrooms and massive open online courses (MOOCs)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,75.0,education,58.0,Department of Higher Education,,,Uchhatar Avishkar Abhiyan
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,75.0,education,64.0,Department of Higher Education,,,Scheme for Fund for Regeneration of Traditional Industries (SFURTI)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,75.0,infrastructure,99.0,Department of Space,,,Enhancement of Sports Facility in J and K
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,74.62,other,8.0,Department of Pharmaceuticals,,,Jan Aushadhi Scheme
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,74.62,other,8.0,Department of Pharmaceuticals,,,Jan Aushadhi Scheme
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,73.89,education,4.0,Department of Agricultural Research and Education,,,Industries and Material Projects
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,capital,73.5,education,4.0,Department of Agricultural Research and Education,,,Advanced Technology for Acclerator
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,73.5,education,4.0,Department of Agricultural Research and Education,,,Advanced Technology for Acclerator
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,73.5,other,13.0,Department of Posts,,,Estates Management
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,70.0,education,67.0,Department of Higher Education,,,Human Resources Development and Training - Supporting Programmes
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,70.0,education,67.0,Department of Higher Education,,,Human Resources Development and Training - Supporting Programmes
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,69.28,other,91.0,Department of Space,,,Space Sciences
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,68.31,energy,94.0,Department of Space,,,Scheme for in situ upgradation of plain powerlooms
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,68.31,energy,94.0,Department of Space,,,Scheme for in situ upgradation of plain powerlooms
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,capital,68.0,agriculture_rural,31.0,Department of Financial Services,,,Recapitalization of Regional Rural Banks (RRBs)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,68.0,agriculture_rural,31.0,Department of Financial Services,,,Recapitalization of Regional Rural Banks (RRBs)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,68.0,education,60.0,Department of Higher Education,,,Labour and Employment Statistical System (LESS)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,67.65,education,60.0,Department of Higher Education,,,Labour and Employment Statistical System (LESS)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,67.59,education,58.0,Department of Higher Education,,,Planning Administration and Global Engagement
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,67.59,education,58.0,Department of Higher Education,,,Planning Administration and Global Engagement
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,65.7,other,25.0,Department of Food and Public Distribution,,,Seismological and Geoscience (SAGE)
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,revenue,65.0,other,95.0,Department of Space,,,Capacity Building for Service Providers
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,65.0,other,95.0,Department of Space,,,Capacity Building for Service Providers
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,total,65.0,other,97.0,Department of Space,,,Flood Forecasting
union,central_sector_schemes,central_sector_schemes.pdf,2017-18,be,capital,64.5,other,13.0,Department of Posts,,,Estates Management
