gov_level,dataset,pdf_source,fiscal_year,estimate_type,component,amount_crore,sector,demand_no,ministry,department,category,description
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,16717.99,education,80.0,Department of Higher Education,,,Stores Suspense
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,14192.96,education,80.0,Department of Higher Education,,,New Lines (Construction)
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,14192.96,education,80.0,Department of Higher Education,,,New Lines (Construction)
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,13397.13,agriculture_rural,1.0,"Department of Agriculture, Cooperation and Farmers' Welfare",,,Interest Subsidy for Short Term Credit to Farmers
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,13397.13,agriculture_rural,1.0,"Department of Agriculture, Cooperation and Farmers' Welfare",,,Interest Subsidy for Short Term Credit to Farmers
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,13000.0,education,72.0,Department of Higher Education,,,Direct Benefit Transfer
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,13000.0,education,72.0,Department of Higher Education,,,Direct Benefit Transfer
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,11051.55,agriculture_rural,1.0,"Department of Agriculture, Cooperation and Farmers' Welfare",,,Crop Insurance Scheme
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,11051.55,agriculture_rural,1.0,"Department of Agriculture, Cooperation and Farmers' Welfare",,,Crop Insurance Scheme
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,10780.0,education,80.0,Department of Higher Education,,,Transfer to Central Road Fund
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,10780.0,education,80.0,Department of Higher Education,,,Transfer to Central Road Fund
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,10776.28,education,81.0,Department of Higher Education,,,Road Works
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,9877.71,other,21.0,Department of Food and Public Distribution,,,Naval Fleet - Navy
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,9877.71,other,21.0,Department of Food and Public Distribution,,,Naval Fleet - Navy
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,8780.7,education,72.0,Department of Higher Education,,,Under-recovery (other Subsidy Payable)
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,8780.7,education,72.0,Department of Higher Education,,,Under-recovery (other Subsidy Payable)
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,8612.38,other,21.0,Department of Food and Public Distribution,,,Other equipment - Air Force
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,8612.38,other,21.0,Department of Food and Public Distribution,,,Other equipment - Air Force
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,7500.0,education,81.0,Department of Higher Education,,,National Highways Authority of India
